organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Chandra Nuansa Mandiri,,"Jl. Camplung Tanduk Seminyak,Kuta, Badung, bali",,Non Bank Money Changer Operators,17/216/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.008/0025,,
PT Chandra Nuansa Mandiri,,"Inter Continental Bali Resort Jl. Uluwatu No.45 , Badung, Bali",,Non Bank Money Changer Operators,17/215/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.007/0025,,
PT Chandra Nuansa Mandiri,,"Ayana Resort & Spa Bali, Karang Estate Jl. Karang Mas Sejahtera Jimbaran, Badung, Bali",,Non Bank Money Changer Operators,17/213/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,8/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.005/0025,,
PT Artha Corrine Ganesha,,"Gedung Thamrin City lantai dasar I/CT.CL/E, Jl. Thamrin Boulevard, Kel. Kebon Melati, Kec. Tanah Abang, Jakarta Pusat",,Non Bank Money Changer Operators,17/261/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,8/10/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0796.002/0305,,
PT Sejati Indo Valuta,,"Jl. Raya Basangkasa No.28A, Kuta, Badung, Bali",,Non Bank Money Changer Operators,17/10/KEP.GBI/Dpr/2015,8/3/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0953.001/0125,,
PT Nataka Siddhi Prima,,"Komplek Aviari Pratama Blok D1 No. 16, Batu Aji",,Non Bank Money Changer Operators,17/10/KEP.GBI/Btm/2015,8/3/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0954.001/0132,,
PT Ratumas Valasindo,,"Summarecon Mall Kelapa Gading 3 Lt. Dasar, Unit 36A, Jl. Sentra Kelapa Gading Blok M, Kel. Kelapa Gading Timur, Kec. Kelapa Gading, Jakarta Utara",,Non Bank Money Changer Operators,17/252/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,7/28/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0453.002/0164,,
PT Ratumas Valasindo,,"Mall Kota Kasablanka Lt. LG-101, Jl. Casablanca Kav. 88, Kel. Menteng Dalam, Kec. Tebet, Jakarta Selatan",,Non Bank Money Changer Operators,17/253/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,7/28/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0453.003/0164,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. Alternatif Cibubur Blok R02/29 Citra Grand Cibubur Kel. Jatikarya Kec. Jatisampurna, Bekasi",,Non Bank Money Changer Operators,17/249/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,7/28/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.022/0272,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. K.H. Zainul Arifin No. 53, Kel. Madras Hulu, Kec. Medan Polania, Kota Medan",,Non Bank Money Changer Operators,17/249/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,7/28/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.023/0272,,
PT Sinar Surya Valas,,JL. KARANG EMPAT BESAR 214 SURABAYA,,Non Bank Money Changer Operators,17/6/KEP.GBI/Sb/2015,7/22/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0950.001/0039,,
PT Top Multi Valasindo,,"Apartemen Green Bay Pluit Unit D/LGM/03, Jl. Pluit Karang Ayu Blok B1 Utara, Kel. Pluit, Kec. Penjaringan, Jakarta Utara",,Non Bank Money Changer Operators,17/30/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,7/13/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0918.001/0360,,
PT Prasarana Makmur Valasindo,,"Jl. Arjuna CK-349, Arjuna Horison Hotel Lingkungan Seminyak, Kab. Badung",,Non Bank Money Changer Operators,17/196/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,7/13/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.019/0082,,
PT Chandra Nuansa Mandiri,,"Sofitel Luxury Hotel Nusa Dua, Badung, Bali",,Non Bank Money Changer Operators,17/187/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,7/7/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.003/0025,,
PT Mulia Mandiri Valasindo,,Puri Widya Kencana J-1/9 Citraland Surabaya 60213,,Non Bank Money Changer Operators,17/5/KEP.GBI/Sb/2015,7/1/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0949.001/0038,,
PT Win Win Valasindo,,"Komplek Bumi Indah Blok III No. 10, Batam",,Non Bank Money Changer Operators,17/87/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA/Btm,6/29/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0616.002/0086,,
PT Karya Oetama Sejahtera Valutama,,"Plaza BSD, Jl. Raya Serpong Sektor IV, BSD, Tangerang",,Non Bank Money Changer Operators,17/6/UAKU/Sr,6/26/2015,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0717.002/0034,,
PT Tri Putra Darma Valuta,,Jalan Langko No. 84,,Non Bank Money Changer Operators,17/04/KEP.GBI/Mtr/2015,6/23/2015,KPwBI Provinsi Nusa Tenggara Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0945.001/0008,,
PT Lumbung Berkah Abadi,,"Jl. Raya Perjuangan No.11B, Kebon Jeruk, Jakarta Barat",,Payment Service Provider - License Category 3,17/183/DKSP/64,6/22/2015,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),0002.001/0009,,
PT Mulia Multi Remitter,,"Jalan Merdeka No. A-1  RT.01 RW. VIII Kel.TPI, Tanjungpinang",,Payment Service Provider - License Category 3,17/186/Btm/68,6/18/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0041,,
PT Sinarartha Bali,,"Jl. Kayu Aya No.52, Badung, Bali",,Non Bank Money Changer Operators,17/156/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,6/17/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0288.005/0048,,
PT Cahaya International Valas,,"Jl. Taman Ratu Indah BB-1 No. 3, RT.003 RW.011, Kel. Kedoya Utara, Kec. Kebon Jeruk, Jakarta Barat",,Non Bank Money Changer Operators,17/28/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/15/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0917.001/0359,,
PT Tukar Wang Untung,,"Jl. Prof. Dr. Soepomo SH, No. 73F, Menteng Dalam, Tebet, Jakarta Selatan",,Non Bank Money Changer Operators,17/27/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/12/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0916.001/0358,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. KH. Noer Ali, Kalimalang, (Jl. Lele V No. 389 B) Perumnas II, Kel. Kayu Ringin Jaya, Kec. Bekasi Selatan, Kota Bekasi",,Non Bank Money Changer Operators,17/14/KPwBI Provinsi DKI Jakarta/GPSP/PBLU,6/11/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.021/0272,,
PT Azzahra Maulana,,"Jl.Subak Sari No.5 Br.Tegal Gundul, Desa Tibubeneng, Badung, Bali",,Non Bank Money Changer Operators,17/306/KPwBI Provinsi DKI Jakarta/PISP/Dpr,6/10/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0704.006/0100,,
PT Binavalasindo Dolarasia Sejahtera Utama,,"Jl. Asem Baris Raya No. 83, RT.003 RW.007, Kel. Kebon Baru, Kec. Tebet, Jakarta Selatan",,Non Bank Money Changer Operators,16/292/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA,6/9/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0746.018/0272,,
PT Minaesa Valuta Indah,,"Jl. Uluwatu I No.9A, Badung, Bali",,Non Bank Money Changer Operators,17/150/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,6/9/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0260.003/0038,,
PT Kristop Money Changer,,"Lovina Kalibukbuk Singaraja, Buleleng, Bali",,Non Bank Money Changer Operators,17/7/KEP.GBI/Dpr/2015,6/8/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0943.001/0122,,
PT San Star Valutama,,"Plaza Globe Lantai I Kios 117-118, Jl. H. Samanhudi No. 4, Kel. Pasar Baru Kec. Sawah Besar, Jakarta Pusat",,Non Bank Money Changer Operators,17/24/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0907.001/0355,,
PT Cahaya Super Valasindo,,"City Link Lower Ground Blok B1A6007, Mall Of Indonesia (MOI) Kelapa Gading Square, Jl. Boulevard Barat Raya No. 1, Kel. Kepala Gading Barat Kec. Kelapa Gading, Jakarta Utara",,Non Bank Money Changer Operators,17/23/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0906.001/0354,,
PT Cahaya Berkah Tritunggal,,"Gedung Cibinong Square Lantai 2 RT.001 RW.001, Kel. Pakansari, Kec. Cibinong, Bogor",,Non Bank Money Changer Operators,17/22/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0903.001/0353,,
PT Dunia Multi Valasindo,,"Jl. Jelambar Utama IX No.8A, RT.005/04, Kel. Jelambar Baru, Kec. Grogol Petamburan, Jakarta Barat",,Non Bank Money Changer Operators,17/20/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0896.001/0351,,
PT Univalas Sukses Sejahtera,,"Mall Mangga Dua Lantai Dasar No. 46 B, Jl. Arteri Mangga Dua, Kel. Mangga Dua Selatan, Kec. Sawah Besar, Jakarta Pusat",,Non Bank Money Changer Operators,17/26/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,6/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0915.001/0357,,
PT Chandra Nuansa Mandiri,,"Ramada Bintang Bali Hotel, Badung, Bali",,Non Bank Money Changer Operators,17/143/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,6/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0233.002/0025,,
PT Arista Marta Valuta,,"Jl. Bakungsari No.54, Kuta, Badung, Bali",,Non Bank Money Changer Operators,17/127/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,6/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1151.002/0027,,
PT Arista Marta Valuta,,"Jl. Werkudara No.526,  Kuta, Badung, Bali",,Non Bank Money Changer Operators,17/144/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,6/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1151.003/0027,,
PT Indonesia Partha Sari Valuta,,"Jl. By Pass Ngurah Rai Depan Setra Alit, Badung, Bali",,Non Bank Money Changer Operators,17/134/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,5/26/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0330.023/0065,,
PT Padi Mandiri Valuta,,Jalan WR. Supratman No. 331 Dusun Tohpati,,Non Bank Money Changer Operators,17/22/KPwBI Provinsi DKI Jakarta/P3PVA/Mtr,5/25/2015,KPwBI Provinsi Nusa Tenggara Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0828.002/0006,,
PT Barumun Abadi Raya,,"Hotel Inna Garuda, Jl. Malioboro No.60",,Non Bank Money Changer Operators,17/2/KEP.GBI/Yk/2015,5/25/2015,KPwBI Provinsi DI Yogyakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1265.001/0022,,
PT Alfa Gemilang Remittance,,"Nagoya Hill Shopmall Blok Q No. 8, Batam",,Payment Service Provider - License Category 3,17/182/Btm/66  ,5/22/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0014,,
PT Pradnyana Artha Mandiri,,"Jl. Kartika Plaza (Hotel Karthi) Kuta,Badung",,Non Bank Money Changer Operators,17/133/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,5/21/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0099.009/0011,,
PT Safari Lestari,,"Br Dinas Bugbug Samuh Desa Bugbug, Karangasem, Bali",,Non Bank Money Changer Operators,17/6/KEP.GBI/Dpr/2015,5/15/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0936.001/0121,,
PT Peniti Money Remittance,,"Gedung Graha Kencana Lt. M, Jl. Raya Perjuangan No. 88, RT 015/010 Kebon Jeruk, Jakarta",,Payment Service Provider - License Category 3,17/181/DASP/63  ,5/11/2015,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),0002.001/0008,,
PT Trimitra Valasindo,,"Sumarecon Mal Serpong 2 (SMS 2) Unit #BA-07, Jl. Boulevard Gading Serpong, Pakulonan Barat, Kelapa Dua Tangerang",,Non Bank Money Changer Operators,17/4/UAKU/Sr,5/6/2015,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0626.003/0024,,
PT Tjantik Elnus Valas,,"Jl. Raya Plered No. 11 RT 07 RW 04 Kel. Plered, Kec. Plered, Purwakarta ",,Non Bank Money Changer Operators,17/5/KEP.GBI/Bd/2015,5/5/2015,KPwBI Provinsi Jawa Barat,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0931.001/0014,,
PT Top Milion Abadi,,Jalan Rajawali 115 Surabaya,,Non Bank Money Changer Operators,17/4/KEP.GBI/Sb/2015,5/4/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0928.001/0037,,
PT Prasarana Makmur Valasindo,,"Jl. Poppies I, (Maharani Hotel), Kuta Kab. Badung, Bali",,Non Bank Money Changer Operators,17/118/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,5/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.016/0082,,
PT Quatro Sari,,"Jl. Munduk Catu, Br. Canggu, Ds. Canggu, Kecamatan Kuta Utara, Kabupaten Badung, Bali",,Non Bank Money Changer Operators,17/5/KEP.GBI/Dpr/2015,5/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0926.002/0120,,
PT Quatro Sari,,"Jl. Pantai Batu Bolong No.99A Br Canggu, Badung, Bali",,Non Bank Money Changer Operators,17/5/KEP.GBI/Dpr/2015,5/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0926.001/0120,,
PT Quatro Sari,,"Jl. Pantai Batu Mejan No. 288 D, Br. Canggu, Ds. Canggu, Kecamatan Kuta Utara, Kabupaten Badung, Bali",,Non Bank Money Changer Operators,17/5/KEP.GBI/Dpr/2015,5/4/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0926.003/0120,,
PT Astika Bina Artha,,"Jl. Yos Sudarso Lorong 102 Barat No. 47, RT.005 RW.008, Kel. Kebon Bawang, Kec. Tanjung Priok, Jakarta Utara",,Non Bank Money Changer Operators,17/19/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,5/4/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0895.001/0350,,
PT Artha Prima Sukses,,"Komplek New Holiday Blok D-5, Kelurahan Sungai Jodoh Batu Ampar Kel. Bukit Jodoh Kec. Batu Ampar Kota Batam",,Non Bank Money Changer Operators,17/7/KEP.GBI/Btm/2015,5/4/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0930.001/0129,,
PT Indonesia Partha Sari Valuta,,"Pertokoan Arjuna No.2 Jl. Arjuna Legian Kaja, Badung, Bali",,Non Bank Money Changer Operators,17/115/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,4/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0330.020/0065,,
PT Indonesia Partha Sari Valuta,,"Pertokoan Padma Jaya No.1 Jl. Padma Utara,  Badung, Bali",,Non Bank Money Changer Operators,17/115/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,4/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0330.021/0065,,
PT Indonesia Partha Sari Valuta,,"Jl. Mertasari Br. Taman, Kel. Kerobokan Kelod, Kec. Kuta Utara, Kab. Badung",,Non Bank Money Changer Operators,17/115/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,4/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0330.019/0065,,
PT Adya Artha,,"Jl. Raya Lovina No.9 (Quickie Mart),Desa Kalibukbuk Singaraja",,Non Bank Money Changer Operators,17/109/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,4/22/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0307.030/0058,,
PT Berkah Sinar Abadi,,"Menara Batavia Lt. 02/02-17, Jl. KH. Mas Mansyur Kav. 126, Jakarta 10229",,Payment Service Provider - License Category 3,17/178/DASP/62  ,4/21/2015,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),0002.001/0007,,
PT Indra Jaya Valasindo,,"Jl. SA. Tirtayasa No.87, Simpang Tiga, Cilegon ",,Non Bank Money Changer Operators,17/03/KEP.GBI/Sr/2015,4/20/2015,KPwBI Provinsi Banten,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0923.001/0052,,
PT Dahlia Artha Niaga,,"Jalan Trikora No. 17 RT 001 RW.001, Tanjung Balai Karimun",,Payment Service Provider - License Category 3,17/179/Btm/64,4/16/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0034,,
PT Batam Cahaya Asia (d/h PT Lumbung Rezeki Valasindo),,Komp.Sri Jaya Abadi Blok A No.5,,Non Bank Money Changer Operators,17/6/KEP.GBI/Btm/2015,4/14/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0093.001/0017,,
PT Cili Bali Lestari,,"Jl. Kepundung No.52, Denpasar, Bali",,Non Bank Money Changer Operators,17/3/KEP.GBI/Dpr/2015,4/13/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0922.001/0119,,
PT Kelroul Citranusa Persada,,"Arion Swiss-Belhotel Lt. 2, Jl. Kemang Raya No. 7, RT.004 RW. 01, Kel. Bangka, Kec. Mampang Prapatan, Jakarta Selatan",,Non Bank Money Changer Operators,17/93/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA,4/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0102.003/0027,,
PT Platinum Exchange (D/H Halim Inti Valasindo),,"Komp. Ruko Aldiron Daan Mogot No. 121 Blok T dan J, RT. 006 RW.05, Kel. Duri Kepa, Kec. Kebon Jeruk, Jakarta Barat 11470",,Non Bank Money Changer Operators,17/95/KPwBI Provinsi DKI Jakarta/GPSP/P3PVA,4/8/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0039.004/0002,,
PT Soonlee Mitra Niaga,,Mall Top 100 Jodoh Centre,,Non Bank Money Changer Operators,17/48/KPwBI Provinsi DKI Jakarta/P3PVA/Btm,4/8/2015,KPwBI Provinsi Kepulauan Riau,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0479.003/0057,,
PT Dian Balima Swikarya,,"Jl. Drupadi No.99TM, Badung, Bali",,Non Bank Money Changer Operators,17/90/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,4/1/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0027.005/0006,,
PT Prasarana Makmur Valasindo,,"Jl. Sunset Road Lingk. Abianbase, LIPPO PLAZA, Kab. Badung, Bali",,Non Bank Money Changer Operators,17/87/KPwBI Provinsi DKI Jakarta/P3PVA/Dpr,3/30/2015,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0470.015/0082,,
PT Lintas Rakyat Remittance,,"Jl. Nusantara No. 63 RT.001 RW.002, Tanjung Balai Karimun",,Payment Service Provider - License Category 3,17/171/Btm/58,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0009,,
PT Sinar Ekspresindo Internasional,,"Kompleks Sakura Anpan Blok F, No. 9, Batam",,Payment Service Provider - License Category 3,17/173/Btm/60 ,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0010,,
PT Fajar Sukses Batam,,"Nagoya Hill Kios Mall Blok LG 03 No. 05, Batam",,Payment Service Provider - License Category 3,17/174/Btm/61  ,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0011,,
PT Eli Globalindo Ekspress,,"Komplek Ruko Nagoya Hill Blok R3 No. H3, Nagoya, Batam",,Payment Service Provider - License Category 3,17/175/Btm/62  ,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0012,,
PT Global Transfer Dana,,"Komplek Penuin Centre Blok B No. 06, Batam",,Payment Service Provider - License Category 3,17/176/Btm/63,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0035,,
PT Karimun Jaya Remittance,,"Jalan Trikora  RT. 001 RW. 001, Tanjung Balai Karimun",,Payment Service Provider - License Category 3,17/170/Btm/57,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0036,,
PT Wira Sindo Trijaya Remittance,,"Jalan  Pramuka No. 65 RT. 005 RW. 005, Tanjung Balai Karimun",,Payment Service Provider - License Category 3,17/172/Btm/59,3/30/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0047,,
PT Zona Transindo Remittance,,"Jl. Nusantara No. 88, Tanjung Balai Karimun",,Payment Service Provider - License Category 3,17/167/Btm/54,3/26/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0007,,
PT VDN Trust Remitter,,"Jl. Merdeka No. 119, Tanjungpinang",,Payment Service Provider - License Category 3,17/165/Btm/52  ,3/26/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0005,,
PT Segitiga Jaya Remittance,,"Jl. Merdeka No. 8, Tanjungpinang",,Payment Service Provider - License Category 3,17/164/Btm/51  ,3/26/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0004,,
PT Mega Tren Moneyindo,,"Jl. Pasar Baru No. 113, Tanjungpinang",,Payment Service Provider - License Category 3,17/166/Btm/53  ,3/26/2015,KpwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),0014.001/0006,,
PT Cosmo Valasindo Prima,,"JL. BASUKI RAHMAD NO. 8-12, TUNJUNGAN PLAZA1 LT. 1 NO. 51, Surabaya",,Non Bank Money Changer Operators,17/3/KEP.GBI/Sb/2015,3/25/2015,KPwBI Provinsi Jawa Timur,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0921.001/0036,,
PT Sukses Valasindo Sehati,,"Jl. KH. Wahid Hasyim No. 183B, Room 1138G, Kel. Kebon Kacang, Kec. Tanah Abang, Jakarta Pusat",,Non Bank Money Changer Operators,17/14/KEP.GBI/KPwBI Provinsi DKI Jakarta/2015,3/23/2015,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0891.001/0348,,
